year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
2037,0,1430,1314.324147,102,0,28.70457864,12,1457.028725,1204.155971,7.668572238
2038,0,1430,1733.14073,84.9,0,41.95920859,82,1941.999939,1459.053297,7.767999754
2039,0,1430,2125.9781,102,0,41.22207593,82,2351.200176,1605.901356,7.34750055
2040,0,1430,1714.113667,102,824.6,41.47731245,82,1939.590979,1204.333397,4.973310203
