year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1321.422433,79.5,0,22.99982199,6,2859.922255,2599.929323,20.42801611
2037,0,1430,1472.892667,102,0,31.70355384,12,1618.596221,1337.682827,8.518927476
2038,0,1430,2692.614779,102,0,34.18915708,82,2910.803936,2186.93008,10.12453543
2039,0,1430,3029.597,102,0,41.59359479,82,3255.190595,2223.338976,8.845626616
2040,0,1430,1777.266667,102,824.6,31.99490165,82,1993.261568,1237.65861,4.444284433
