year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
2038,287.5,195.5,228.126,2.737512,225.388488,195.5,62.111512,0.7839599583,1,0,0,35.44520548,0,false
2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
