year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
2037,0,1430,1273.1963,102,0,28.70457864,12,1415.900879,1170.166015,7.452109888
2038,0,1430,1482.598167,102,0,13.41448401,82,1680.012651,1262.21837,7.093215686
2039,0,1430,2125.9781,102,0,5.85903732,82,2315.837137,1581.747925,7.236991054
2040,0,1430,1714.113667,102,824.6,6.11427384,82,1904.227941,1182.375732,4.882635745
