year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
2038,250,170,199.07,2.38884,196.68116,170,53.31884,0.78672464,1,0,0,30.82191781,0,false
2039,320,210,320.0043333,3.840052,316.066008,210,3.933992,0.987706275,1,0,0.09827333333,39.45205479,0,false
2040,390,250,394.6623333,4.735948,390,250,0,1,1,0.09827333333,0.02465866667,48.08219178,0.09827333333,false
