year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
2037,0,1430,1299.8963,102,0,0.18631856,12,1414.082619,1168.663321,9.570173389
2038,0,1430,1693.915167,102,0,0.11913035,82,1878.034297,1410.994964,7.552238568
2039,0,1430,2125.9781,102,0,6.077887,82,2316.055987,1581.897402,7.237674959
2040,0,1430,1714.113667,102,824.6,6.33188852,82,1904.445555,1182.510854,4.883193731
