year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
2038,0,1430,1640.515167,102,0,0.05116873,82,1824.566335,1370.823693,7.3398248
2039,0,1430,2125.9781,102,0,5.91438892,82,2315.892489,1581.785731,7.237164028
2040,0,1430,1714.113667,102,824.6,6.16839044,82,1904.282057,1182.409334,4.882774505
