strategy,scenario,total_cost_mln,total_pv_mln,capex_2037_mln,capex_2040_mln,capex_headroom_2037,min_sl_total,min_sl_critical,shortage_total_t,shortage_2038_2040_t,n_violations,violations
S17,MANDATORY_STRESS,16453.3,13412.0,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S18,BASE,14282.4,11797.6,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S18,MANDATORY_STRESS,16163.4,13145.6,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S19,BASE,14095.0,11635.1,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S19,MANDATORY_STRESS,16111.7,13075.5,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S20,BASE,14770.1,12180.6,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S20,MANDATORY_STRESS,16663.5,13509.1,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S21,BASE,14622.4,12088.1,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S21,MANDATORY_STRESS,16427.7,13372.5,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S22,BASE,14751.5,12161.8,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,6,RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
S22,MANDATORY_STRESS,16644.9,13490.2,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,6,RESERVE_45D@2035; RESERVE_45D@2036; RESERVE_45D@2037; RESERVE_45D@2038; RESERVE_45D@2039; RESERVE_45D@2040
S23,BASE,14541.3,12000.3,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S23,MANDATORY_STRESS,16233.5,13190.8,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S24,BASE,14482.2,11861.7,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S24,MANDATORY_STRESS,16177.1,13055.3,1790.0,1790.0,10.0,1.0,1.0,0.0,0.0,0,
S25,BASE,12489.3,9938.1,1520.0,1520.0,280.0,1.0,1.0,0.0,0.0,0,
S25,MANDATORY_STRESS,15758.0,12338.8,1520.0,1790.0,280.0,1.0,1.0,0.0,0.0,0,
