year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2696.77,48.0,0.0,22.43,0.0,3127.2,3127.2,100.0,1.0,1.0,0.0,65.0,12.33,31.272
2036,1430.0,1790.0,1641.88,60.6,69.8,20.81,6.0,3159.3,2872.09,140.0,1.0,1.0,0.0,23.08,17.26,22.5664
2037,0.0,1790.0,1673.63,115.35,0.0,28.01,12.0,1828.98,1511.56,190.0,1.0,1.0,0.0,29.99,23.42,9.6262
2038,0.0,1790.0,2004.13,118.5,0.0,32.97,82.0,2237.6,1681.14,250.0,1.0,1.0,0.0,37.24,30.82,8.9504
2039,0.0,1790.0,1682.43,123.0,461.5,39.15,82.0,1926.58,1315.88,320.0,1.0,1.0,0.0,46.2,39.45,6.0206
2040,0.0,1790.0,1571.01,123.0,1112.5,39.38,82.0,1815.38,1127.21,390.0,1.0,1.0,0.0,54.75,48.08,4.6548
