year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2806.7,61.5,0.0,22.43,0.0,3250.63,3250.63,100.0,1.0,1.0,0.0,65.0,12.33,32.5063
2036,1430.0,1790.0,1574.26,75.9,151.16,20.88,6.0,3107.04,2824.58,140.0,1.0,1.0,0.0,23.08,17.26,22.1932
2037,0.0,1790.0,1645.37,124.8,0.0,27.62,12.0,1809.79,1495.7,190.0,1.0,1.0,0.0,29.99,23.42,9.5252
2038,0.0,1790.0,2102.94,124.8,0.0,32.96,82.0,2342.7,1760.1,250.0,1.0,1.0,0.0,37.24,30.82,9.3708
2039,0.0,1790.0,1741.76,139.65,461.5,39.16,82.0,2002.57,1367.78,320.0,1.0,1.0,0.0,46.2,39.45,6.258
2040,0.0,1790.0,1507.27,141.0,1286.1,39.38,82.0,1769.65,1098.81,390.0,1.0,1.0,0.0,54.75,48.08,4.5376
