year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,0.0,0.0,1909.57,61.5,0.0,22.43,0.0,1993.5,1993.5,100.0,1.0,1.0,0.0,65.0,12.33,19.935
2036,1430.0,1430.0,1280.3,79.5,0.0,20.89,6.0,2816.69,2560.63,140.0,1.0,1.0,0.0,23.08,17.26,20.1192
2037,0.0,1430.0,1304.39,102.0,0.0,26.6,12.0,1444.98,1194.2,190.0,1.0,1.0,0.0,30.08,23.42,7.6052
2038,0.0,1430.0,1640.54,102.0,0.0,32.96,82.0,1857.5,1395.56,250.0,1.0,1.0,0.0,37.24,30.82,7.43
2039,0.0,1430.0,2126.0,102.0,0.0,39.12,82.0,2349.12,1604.48,320.0,1.0,1.0,0.0,46.2,39.45,7.341
2040,0.0,1430.0,1714.11,102.0,824.6,39.38,82.0,1937.48,1203.03,390.0,1.0,1.0,0.0,54.75,48.08,4.9679
