year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2832.57,61.5,0.0,22.43,0.0,3276.5,3276.5,100.0,1.0,1.0,0.0,65.0,12.33,32.765
2036,180.0,540.0,1562.34,79.5,186.44,20.89,6.0,1848.73,1680.66,140.0,1.0,1.0,0.0,23.08,17.26,13.2052
2037,1250.0,1790.0,1793.16,141.0,148.21,26.71,12.0,3222.87,2663.53,190.0,1.0,1.0,0.0,30.08,23.42,16.9625
2038,0.0,1790.0,2104.54,141.0,0.0,32.96,82.0,2360.5,1773.48,250.0,1.0,1.0,0.0,37.24,30.82,9.442
2039,0.0,1790.0,1741.76,141.0,461.5,39.16,82.0,2003.92,1368.7,320.0,1.0,1.0,0.0,46.2,39.45,6.2622
2040,0.0,1790.0,1507.27,141.0,1286.1,39.38,82.0,1769.65,1098.81,390.0,1.0,1.0,0.0,54.75,48.08,4.5376
