period,i_start,delivered,throughput,losses,served_total,served_critical,demand_total,demand_critical,shortage,i_end,storage_mode,orders,arrivals
2035-01,65.0,0,65.0,2.925,8.333,6.667,8.333,6.667,0.0,53.742,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 4.23}",{}
2035-02,53.742,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,45.408,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.33}",{}
2035-03,45.408,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,37.075,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.33}",{}
2035-04,37.075,0,0.0,0.0,8.333,6.667,8.333,6.667,0.0,28.742,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.33}",{}
2035-05,28.742,4.227,4.227,0.19,8.333,6.667,8.333,6.667,0.0,24.445,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.52}","{""B"": 4.23}"
2035-06,24.445,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,24.07,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.71}","{""B"": 8.33}"
2035-07,24.07,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.695,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.71}","{""B"": 8.33}"
2035-08,23.695,8.333,8.333,0.375,8.333,6.667,8.333,6.667,0.0,23.32,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 8.71}","{""B"": 8.33}"
2035-09,23.32,8.524,8.524,0.384,8.333,6.667,8.333,6.667,0.0,23.127,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 7.36}","{""B"": 8.52}"
2035-10,23.127,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.11,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 1.06}","{""B"": 8.71}"
2035-11,23.11,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.093,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 1.06}","{""B"": 8.71}"
2035-12,23.093,8.708,8.708,0.392,8.333,6.667,8.333,6.667,0.0,23.076,BASE,"{""C"": 10.83, ""A"": 11.0, ""B"": 1.06}","{""B"": 8.71}"
2036-01,23.076,18.365,18.365,0.826,11.667,8.75,11.667,8.75,0.0,28.948,BASE,"{""C"": 10.83, ""A"": 12.83, ""B"": 1.49}","{""A"": 11.0, ""B"": 7.36}"
2036-02,28.948,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.797,BASE,"{""C"": 10.83, ""A"": 9.96, ""B"": 1.21}","{""A"": 11.0, ""B"": 1.06}"
2036-03,28.797,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.646,BASE,"{""C"": 10.83, ""A"": 4.33, ""B"": 1.21}","{""A"": 11.0, ""B"": 1.06}"
2036-04,28.646,12.059,12.059,0.543,11.667,8.75,11.667,8.75,0.0,28.495,BASE,"{""C"": 10.83, ""A"": 4.33, ""B"": 1.21}","{""A"": 11.0, ""B"": 1.06}"
2036-05,28.495,12.493,12.493,0.562,11.667,8.75,11.667,8.75,0.0,28.76,BASE,"{""C"": 10.83, ""A"": 4.35, ""B"": 1.23}","{""A"": 11.0, ""B"": 1.49}"
2036-06,28.76,12.209,12.209,0.549,11.667,8.75,11.667,8.75,0.0,28.753,BASE,"{""C"": 10.83, ""A"": 4.32, ""B"": 1.22}","{""A"": 11.0, ""B"": 1.21}"
2036-07,28.753,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.149,ZBO,"{""C"": 10.83, ""A"": 3.41, ""B"": 0.43}","{""A"": 11.0, ""B"": 1.21}"
2036-08,29.149,12.209,12.209,0.147,11.667,8.75,11.667,8.75,0.0,29.545,ZBO,"{""C"": 10.83, ""A"": 4.72, ""B"": 0.81}","{""A"": 11.0, ""B"": 1.21}"
