year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2797.73,89.5,0.0,20.58,0.0,3267.81,3267.81,100.0,1.0,1.0,0.0,65.0,12.33,32.6781
2036,1430.0,1790.0,1586.86,107.5,190.13,18.11,6.0,3148.48,2862.25,140.0,1.0,1.0,0.0,19.24,17.26,22.4891
2037,0.0,1790.0,1805.88,169.0,150.39,23.41,12.0,2010.29,1661.39,190.0,1.0,1.0,0.0,25.42,23.42,10.5805
2038,0.0,1790.0,2130.33,169.0,0.0,29.56,82.0,2410.89,1811.34,250.0,1.0,1.0,0.0,32.82,30.82,9.6436
2039,0.0,1790.0,1784.88,169.0,461.5,35.78,82.0,2071.66,1414.97,320.0,1.0,1.0,0.0,41.45,39.45,6.4739
2040,0.0,1790.0,1555.35,169.0,1286.1,36.06,82.0,1842.41,1143.99,390.0,1.0,1.0,0.0,50.08,48.08,4.7241
