year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2832.57,61.5,0.0,22.43,0.0,3276.5,3276.5,100.0,1.0,1.0,0.0,65.0,12.33,32.765
2036,0.0,360.0,1586.86,79.5,181.8,20.52,0.0,1686.89,1533.53,140.0,1.0,1.0,0.0,23.08,17.26,12.0492
2037,0.0,360.0,1832.21,141.0,30.56,25.4,0.0,1998.62,1651.75,190.0,1.0,1.0,0.0,28.75,23.42,10.519
2038,0.0,360.0,2288.31,141.0,0.0,31.36,0.0,2460.67,1848.74,250.0,1.0,1.0,0.0,35.55,30.82,9.8427
2039,0.0,360.0,1986.97,141.0,461.5,36.64,0.0,2164.61,1478.46,320.0,1.0,1.0,0.0,43.46,39.45,6.7644
2040,0.0,360.0,1810.12,141.0,1286.1,36.44,0.0,1987.56,1234.12,390.0,1.0,1.0,0.0,51.26,48.08,5.0963
