year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2904.47,61.5,0.0,24.91,0.0,3350.88,3350.88,100.0,1.0,1.0,0.0,65.0,12.33,33.5088
2036,1430.0,1790.0,1563.2,79.5,171.15,26.43,6.0,3105.13,2822.85,140.0,1.0,1.0,0.0,28.82,17.26,22.1795
2037,0.0,1790.0,1793.41,141.0,130.35,34.03,12.0,1980.44,1636.73,190.0,1.0,1.0,0.0,37.89,23.42,10.4234
2038,0.0,1790.0,2123.92,141.0,0.0,42.34,82.0,2389.26,1795.09,250.0,1.0,1.0,0.0,47.52,30.82,9.557
2039,0.0,1790.0,1741.87,141.0,461.5,50.6,82.0,2015.47,1376.59,320.0,1.0,1.0,0.0,59.35,39.45,6.2983
2040,0.0,1790.0,1507.27,141.0,1286.1,50.92,82.0,1781.19,1105.98,390.0,1.0,1.0,0.0,70.78,48.08,4.5672
