year,capex,capex_cum,procurement,reservation,top_extra,holding,fixed_opex,total,discounted,served_total,sl_total,sl_critical,shortage,i_start_jan,reserve_required,cost_per_served
2035,360.0,360.0,2818.14,102.0,0.0,22.43,0.0,3302.57,3302.57,100.0,1.0,1.0,0.0,65.0,12.33,33.0257
2036,1430.0,1790.0,1796.28,102.0,382.72,25.47,6.0,3359.75,3054.32,140.0,1.0,1.0,0.0,23.08,17.26,23.9982
2037,0.0,1790.0,1933.76,141.0,0.0,30.81,12.0,2117.57,1750.05,190.0,1.0,1.0,0.0,31.07,23.42,11.1451
2038,0.0,1790.0,2608.55,141.0,0.0,36.43,82.0,2867.99,2154.76,287.5,1.0,1.0,0.0,41.87,35.45,9.9756
2039,0.0,1790.0,2416.47,141.0,461.5,42.37,82.0,2681.84,1831.73,368.0,1.0,1.0,0.0,49.7,45.37,7.2876
2040,0.0,1790.0,1856.25,141.0,1286.1,44.36,82.0,2123.61,1318.6,448.5,1.0,1.0,0.0,59.17,55.29,4.7349
