year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
2038,0,1430,1640.515167,102,0,21.563676,82,1846.078843,1386.986358,6.421143801
2039,0,1430,2125.9781,102,0,2.75523369,82,2312.733334,1579.627986,6.798757705
2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867831733
