year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
2037,190,135,204.23,2.45076,190,135,0,1,1,33.011257,44.790497,23.42465753,33.011257,true
2038,287.5,195.5,286.7332,3.4407984,287.5,195.5,0,1,1,44.790497,40.5828986,35.44520548,44.790497,true
2039,368,241.5,383.3445,4.600134,368,241.5,0,1,1,40.5828986,51.3272646,45.36986301,40.5828986,false
2040,448.5,287.5,420,5.04,448.5,287.5,0,1,1,51.3272646,17.7872646,55.29452055,51.3272646,false
