run,year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
BASE,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
BASE,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
BASE,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
BASE,2038,0,1430,1640.515167,102,0,0.05993276,82,1824.575099,1370.830278,7.339860055
BASE,2039,0,1430,2125.9781,102,0,5.93351044,82,2315.91161,1581.798791,7.237223783
BASE,2040,0,1430,1714.113667,102,824.6,6.18751196,82,1904.301179,1182.421207,4.882823535
MANDATORY_STRESS,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
MANDATORY_STRESS,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
MANDATORY_STRESS,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
MANDATORY_STRESS,2038,0,1430,2001.759708,102,0,0,82,2185.759708,1642.19362,9.702189847
MANDATORY_STRESS,2039,0,1430,2605.571875,102,0,0.08658024,82,2789.658455,1905.374261,8.933154796
MANDATORY_STRESS,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867876958
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2038,0,1430,2001.759708,102,0,0,82,2185.759708,1642.19362,10.05020496
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2039,0,1430,2605.571875,102,0,0.08658024,82,2789.658455,1905.374261,8.933154796
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867876958
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2037,0,1430,1296.93082,102,0,0.18631856,12,1411.117139,1166.212511,9.550103729
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2038,0,1430,2061.096008,102,0,0,82,2245.096008,1686.773861,9.961005676
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2039,0,1430,2605.571875,102,0,0.08658024,82,2789.658455,1905.374261,8.933154796
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867876958
R02:TEAM_ISRU_DELAY,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R02:TEAM_ISRU_DELAY,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R02:TEAM_ISRU_DELAY,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R02:TEAM_ISRU_DELAY,2038,0,1430,1444.978167,102,0,0,82,1628.978167,1223.875407,8.282329465
R02:TEAM_ISRU_DELAY,2039,0,1430,2125.9781,102,0,0.05683972,82,2310.03494,1577.784946,7.308710463
R02:TEAM_ISRU_DELAY,2040,0,1430,1714.113667,102,824.6,0.02462396,82,1898.138291,1178.594539,4.867021258
R02:MIT:TEAM_ISRU_DELAY,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R02:MIT:TEAM_ISRU_DELAY,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R02:MIT:TEAM_ISRU_DELAY,2037,0,1430,1430.43082,102,0,0.18631856,12,1544.617139,1276.54309,10.45359984
R02:MIT:TEAM_ISRU_DELAY,2038,0,1430,1759.447207,102,0,2.107573696,82,1945.55478,1461.724102,7.825767128
R02:MIT:TEAM_ISRU_DELAY,2039,0,1430,2125.9781,102,0,0.05683972,82,2310.03494,1577.784946,7.308710463
R02:MIT:TEAM_ISRU_DELAY,2040,0,1430,1714.113667,102,824.6,0.02462396,82,1898.138291,1178.594539,4.867021258
R03:TEAM_ZBO_FAILURE,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R03:TEAM_ZBO_FAILURE,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R03:TEAM_ZBO_FAILURE,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R03:TEAM_ZBO_FAILURE,2038,0,1430,1640.515167,102,0,0,82,1824.515167,1370.785249,7.590062674
R03:TEAM_ZBO_FAILURE,2039,0,1430,2125.9781,102,0,5.8586026,82,2315.836703,1581.747628,7.236989696
R03:TEAM_ZBO_FAILURE,2040,0,1430,1714.113667,102,824.6,6.11260412,82,1904.226271,1182.374695,4.882631464
R03:MIT:TEAM_ZBO_FAILURE,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R03:MIT:TEAM_ZBO_FAILURE,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R03:MIT:TEAM_ZBO_FAILURE,2037,0,1430,1299.8963,102,0,0.18631856,12,1414.082619,1168.663321,9.570173389
R03:MIT:TEAM_ZBO_FAILURE,2038,0,1430,1693.915167,102,0,0.11913035,82,1878.034297,1410.994964,7.552238568
R03:MIT:TEAM_ZBO_FAILURE,2039,0,1430,2125.9781,102,0,6.077887,82,2316.055987,1581.897402,7.237674959
R03:MIT:TEAM_ZBO_FAILURE,2040,0,1430,1714.113667,102,824.6,6.33188852,82,1904.445555,1182.510854,4.883193731
R04:TEAM_MMOD,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R04:TEAM_MMOD,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R04:TEAM_MMOD,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R04:TEAM_MMOD,2038,0,1430,1640.515167,102,0,0.05116873,82,1824.566335,1370.823693,7.3398248
R04:TEAM_MMOD,2039,0,1430,2125.9781,102,0,5.91438892,82,2315.892489,1581.785731,7.237164028
R04:TEAM_MMOD,2040,0,1430,1714.113667,102,824.6,6.16839044,82,1904.282057,1182.409334,4.882774505
R04:MIT:TEAM_MMOD,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R04:MIT:TEAM_MMOD,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R04:MIT:TEAM_MMOD,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R04:MIT:TEAM_MMOD,2038,0,1430,1649.415167,102,0,0.19936873,82,1833.614535,1377.62174,7.376223697
R04:MIT:TEAM_MMOD,2039,0,1430,2125.9781,102,0,6.62574892,82,2316.603849,1582.2716,7.239387028
R04:MIT:TEAM_MMOD,2040,0,1430,1714.113667,102,824.6,6.87975044,82,1904.993417,1182.851033,4.884598505
R05:TEAM_PRICE_SPIKE_E,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R05:TEAM_PRICE_SPIKE_E,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R05:TEAM_PRICE_SPIKE_E,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R05:TEAM_PRICE_SPIKE_E,2038,0,1430,1640.515167,102,0,0.05993276,82,1824.575099,1370.830278,7.339860055
R05:TEAM_PRICE_SPIKE_E,2039,0,1430,2125.9781,102,0,5.93351044,82,2315.91161,1581.798791,7.237223783
R05:TEAM_PRICE_SPIKE_E,2040,0,1430,1714.113667,102,824.6,6.18751196,82,1904.301179,1182.421207,4.882823535
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2038,0,1430,1640.515167,102,0,0.05993276,82,1824.575099,1370.830278,7.339860055
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2039,0,1430,2125.9781,102,0,5.93351044,82,2315.91161,1581.798791,7.237223783
R06:TEAM_EARTH_NEW_EXERCISE_DELAY,2040,0,1430,1714.113667,102,824.6,6.18751196,82,1904.301179,1182.421207,4.882823535
R07:TEAM_CAPEX_OVERRUN,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R07:TEAM_CAPEX_OVERRUN,2036,1617.5,1617.5,970.3055,79.5,0,9.44837152,6,2682.753872,2438.867156,19.9985572
R07:TEAM_CAPEX_OVERRUN,2037,0,1617.5,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R07:TEAM_CAPEX_OVERRUN,2038,0,1617.5,1640.515167,102,0,0.05993276,82,1824.575099,1370.830278,7.339860055
R07:TEAM_CAPEX_OVERRUN,2039,0,1617.5,2125.9781,102,0,5.93351044,82,2315.91161,1581.798791,7.237223783
R07:TEAM_CAPEX_OVERRUN,2040,0,1617.5,1714.113667,102,824.6,6.18751196,82,1904.301179,1182.421207,4.882823535
R08:TEAM_CHANNEL_A_CAPACITY,2035,0,0,1661.5572,61.5,0,24.4498341,0,1747.507034,1747.507034,17.47507034
R08:TEAM_CHANNEL_A_CAPACITY,2036,1430,1430,970.3055,79.5,0,9.44837152,6,2495.253872,2268.41261,18.60084065
R08:TEAM_CHANNEL_A_CAPACITY,2037,0,1430,1273.1963,102,0,0.18631856,12,1387.382619,1146.597205,9.389474167
R08:TEAM_CHANNEL_A_CAPACITY,2038,0,1430,1404.939967,102,0,0.05993276,82,1588.999899,1193.839143,6.39219339
R08:TEAM_CHANNEL_A_CAPACITY,2039,0,1430,2125.9781,102,0,0.434617,82,2310.412717,1578.042973,7.936350098
R08:TEAM_CHANNEL_A_CAPACITY,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867876958
