run,year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
BASE,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
BASE,2036,1430,1430,1280.2807,79.5,0,22.99843491,6,2818.779135,2562.526486,20.13413668
BASE,2037,0,1430,1304.3513,102,0,28.70178072,12,1447.053081,1195.911637,7.616068846
BASE,2038,0,1430,1640.515167,102,0,35.06087808,82,1859.576045,1397.127006,7.438304179
BASE,2039,0,1430,2125.9781,102,0,41.21898556,82,2351.197086,1605.899246,7.347490892
BASE,2040,0,1430,1714.113667,102,824.6,41.47298708,82,1939.586654,1204.330711,4.973299112
demand_low_x0.8,2035,0,0,1909.5572,61.5,0,31.6498341,0,2002.707034,2002.707034,25.03383793
demand_low_x0.8,2036,1430,1430,1280.2807,79.5,0,47.47843491,6,2843.259135,2584.781032,25.38624228
demand_low_x0.8,2037,0,1430,1304.3513,102,0,76.94178072,12,1495.293081,1235.779406,9.837454478
demand_low_x0.8,2038,0,1430,1640.515167,102,0,114.9808781,82,1939.496045,1457.172085,9.697480224
demand_low_x0.8,2039,0,1430,2125.9781,102,0,162.1789856,82,2472.157086,1688.516553,9.656863615
demand_low_x0.8,2040,0,1430,1714.113667,102,824.6,213.5529871,82,2111.666654,1311.178853,6.768162352
demand_high,2035,0,0,1909.5572,61.5,0,20.8498341,0,1991.907034,1991.907034,18.10824576
demand_high,2036,1430,1430,1280.2807,79.5,0,10.75843491,6,2806.539135,2551.399214,18.2242801
demand_high,2037,0,1430,1304.3513,102,0,4.74209333,12,1423.093393,1176.110242,6.902766132
demand_high,2038,0,1430,1640.515167,102,0,0.1990052,82,1824.714172,1370.934765,7.046619504
demand_high,2039,0,1430,2125.9781,102,0,0.07478024,82,2310.05288,1577.7972,7.030972921
demand_high,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867876958
priceAB_x0.8,2035,0,0,1527.64576,61.5,0,24.4498341,0,1613.595594,1613.595594,16.13595594
priceAB_x0.8,2036,1430,1430,1024.22456,79.5,0,22.99843491,6,2562.722995,2329.748177,18.30516425
priceAB_x0.8,2037,0,1430,1049.71204,102,0,28.70178072,12,1192.413821,985.4659675,6.275862214
priceAB_x0.8,2038,0,1430,1351.519533,102,0,35.06087808,82,1570.580411,1180.000309,6.282321646
priceAB_x0.8,2039,0,1430,1742.30308,102,0,41.21898556,82,1967.522066,1343.844045,6.148506455
priceAB_x0.8,2040,0,1430,1418.660333,102,659.68,41.47298708,82,1644.13332,1020.877437,4.215726463
priceAB_x1.2,2035,0,0,2291.46864,61.5,0,24.4498341,0,2377.418474,2377.418474,23.77418474
priceAB_x1.2,2036,1430,1430,1536.33684,79.5,0,22.99843491,6,3074.835275,2795.304795,21.96310911
priceAB_x1.2,2037,0,1430,1558.99056,102,0,28.70178072,12,1701.692341,1406.357306,8.956275477
priceAB_x1.2,2038,0,1430,1929.5108,102,0,35.06087808,82,2148.571678,1614.253703,8.594286712
priceAB_x1.2,2039,0,1430,2509.65312,102,0,41.21898556,82,2734.872106,1867.954447,8.54647533
priceAB_x1.2,2040,0,1430,2009.567,102,989.52,41.47298708,82,2235.039987,1387.783986,5.730871762
shareD_0.40,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
shareD_0.40,2036,1430,1430,1280.2807,79.5,0,22.99843491,6,2818.779135,2562.526486,20.13413668
shareD_0.40,2037,0,1430,1304.3513,102,0,28.70178072,12,1447.053081,1195.911637,7.616068846
shareD_0.40,2038,0,1430,1640.515167,102,0,21.44822198,82,1845.963389,1386.899616,7.383853555
shareD_0.40,2039,0,1430,2125.9781,102,0,2.931421394,82,2312.909521,1579.748324,7.677678566
shareD_0.40,2040,0,1430,1714.113667,102,824.6,0,82,1898.113667,1178.579249,4.867876958
shareD_0.55,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
shareD_0.55,2036,1430,1430,1280.2807,79.5,0,22.99843491,6,2818.779135,2562.526486,20.13413668
shareD_0.55,2037,0,1430,1304.3513,102,0,28.70178072,12,1447.053081,1195.911637,7.616068846
shareD_0.55,2038,0,1430,1640.515167,102,0,24.85138601,82,1849.366553,1389.456463,7.397466211
shareD_0.55,2039,0,1430,2125.9781,102,0,9.776331148,82,2319.754431,1584.42349,7.249232597
shareD_0.55,2040,0,1430,1714.113667,102,824.6,0.209269832,82,1898.322936,1178.709189,4.867494709
shareD_0.75,2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
shareD_0.75,2036,1430,1430,1280.2807,79.5,0,22.99843491,6,2818.779135,2562.526486,20.13413668
shareD_0.75,2037,0,1430,1304.3513,102,0,28.70178072,12,1447.053081,1195.911637,7.616068846
shareD_0.75,2038,0,1430,1640.515167,102,0,29.38893804,82,1853.904105,1392.865593,7.415616419
shareD_0.75,2039,0,1430,2125.9781,102,0,23.75084422,82,2333.728944,1593.96827,7.292902951
shareD_0.75,2040,0,1430,1714.113667,102,824.6,18.54869972,82,1916.662366,1190.096532,4.914518888
