run,year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
BASE,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
BASE,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
BASE,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
BASE,2038,250,170,262.094,3.145128,250,170,0,1,1,40.162771,49.111643,30.82191781,40.162771,true
BASE,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.111643,57.66544433,39.45205479,49.111643,true
BASE,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.66544433,57.59182967,48.08219178,57.66544433,true
MANDATORY_STRESS,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
MANDATORY_STRESS,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
MANDATORY_STRESS,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
MANDATORY_STRESS,2038,287.5,195.5,233.7332,2.8047984,271.0911726,195.5,16.4088274,0.9429258177,1,40.162771,0,35.44520548,40.162771,true
MANDATORY_STRESS,2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
MANDATORY_STRESS,2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2038,287.5,195.5,224.2796,2.6913552,261.7510158,195.5,25.7489842,0.9104383158,1,40.162771,0,35.44520548,40.162771,true
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
R01:TEAM_ISRU_UNDERDELIVERY_COMBINED,2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2038,287.5,195.5,232.28,2.78736,269.655411,195.5,17.844589,0.9379318643,1,40.162771,0,35.44520548,40.162771,true
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2039,368,241.5,316.0743333,3.792892,312.2814413,241.5,55.71855867,0.8485908732,1,0,0,45.36986301,0,false
R01:MIT:TEAM_ISRU_UNDERDELIVERY_COMBINED,2040,448.5,287.5,394.6623333,4.735948,389.9263853,287.5,58.57361467,0.8694010821,1,0,0,55.29452055,0,false
R02:TEAM_ISRU_DELAY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R02:TEAM_ISRU_DELAY,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R02:TEAM_ISRU_DELAY,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R02:TEAM_ISRU_DELAY,2038,250,170,199.07,2.38884,236.843931,170,13.156069,0.947375724,1,40.162771,0,30.82191781,40.162771,true
R02:TEAM_ISRU_DELAY,2039,320,210,332.5443333,3.990532,320,210,0,1,1,0,8.553801333,39.45205479,0,false
R02:TEAM_ISRU_DELAY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,8.553801333,8.480186667,48.08219178,8.553801333,false
R02:MIT:TEAM_ISRU_DELAY,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R02:MIT:TEAM_ISRU_DELAY,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R02:MIT:TEAM_ISRU_DELAY,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R02:MIT:TEAM_ISRU_DELAY,2038,250,170,251.6283667,3.0195404,250,170,0,1,1,40.162771,38.77159727,30.82191781,40.162771,true
R02:MIT:TEAM_ISRU_DELAY,2039,320,210,332.5443333,3.990532,320,210,0,1,1,38.77159727,47.3253986,39.45205479,38.77159727,false
R02:MIT:TEAM_ISRU_DELAY,2040,390,250,394.6623333,4.735948,390,250,0,1,1,47.3253986,47.25178393,48.08219178,47.3253986,false
R03:TEAM_ZBO_FAILURE,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R03:TEAM_ZBO_FAILURE,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R03:TEAM_ZBO_FAILURE,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R03:TEAM_ZBO_FAILURE,2038,250,170,262.094,11.79423,250,170,0,1,1,40.162771,40.462541,30.82191781,40.162771,true
R03:TEAM_ZBO_FAILURE,2039,320,210,332.5443333,3.990532,320,210,0,1,1,40.462541,49.01634233,39.45205479,40.462541,true
R03:TEAM_ZBO_FAILURE,2040,390,250,394.6623333,4.735948,390,250,0,1,1,49.01634233,48.94272767,48.08219178,49.01634233,true
R03:MIT:TEAM_ZBO_FAILURE,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R03:MIT:TEAM_ZBO_FAILURE,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R03:MIT:TEAM_ZBO_FAILURE,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R03:MIT:TEAM_ZBO_FAILURE,2038,250,170,271.094,12.19923,250,170,0,1,1,40.162771,49.057541,30.82191781,40.162771,true
R03:MIT:TEAM_ZBO_FAILURE,2039,320,210,332.5443333,3.990532,320,210,0,1,1,49.057541,57.61134233,39.45205479,49.057541,true
R03:MIT:TEAM_ZBO_FAILURE,2040,390,250,394.6623333,4.735948,390,250,0,1,1,57.61134233,57.53772767,48.08219178,57.61134233,true
R04:TEAM_MMOD,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R04:TEAM_MMOD,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R04:TEAM_MMOD,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
R04:TEAM_MMOD,2038,250,170,262.094,3.145128,250,170,0,1,1,40.162771,36.83318425,30.82191781,40.162771,true
R04:TEAM_MMOD,2039,320,210,332.5443333,3.990532,320,210,0,1,1,36.83318425,45.38698558,39.45205479,36.83318425,false
R04:TEAM_MMOD,2040,390,250,394.6623333,4.735948,390,250,0,1,1,45.38698558,45.31337092,48.08219178,45.38698558,false
R04:MIT:TEAM_MMOD,2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
R04:MIT:TEAM_MMOD,2036,140,105,151.44,4.432299,140,105,0,1,1,25.99967,33.007371,17.26027397,25.99967,true
R04:MIT:TEAM_MMOD,2037,190,135,199.55,2.3946,190,135,0,1,1,33.007371,40.162771,23.42465753,33.007371,true
