strategy,scenario,run_mode,total_mln,pv_mln,served_t,cost_per_served_t_mln,min_sl_total,min_sl_critical,shortage_t,min_reserve_margin_t,capex_2037_mln,capex_headroom_mln,hard_violations,failed_rules
S08,MANDATORY_STRESS,fixed_BASE_plan,13781.017333,11146.158074,1410.188084,9.772468,0.79258087,0.9225,123.811916,-55.294521,540.0,1260.0,17,BASE_TOTAL_SERVICE:2035; BASE_CRITICAL_SERVICE:2035; BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2037; RESERVE_45D:2038; RESERVE_45D:2039; RESERVE_45D:2040; CAPACITY_EXCEEDED:2035-01; CAPACITY_EXCEEDED:2035-02; CAPACITY_EXCEEDED:2035-03; CAPACITY_EXCEEDED:2035-04; CAPACITY_EXCEEDED:2035-05; CAPACITY_EXCEEDED:2035-06; CAPACITY_EXCEEDED:2035-07; CAPACITY_EXCEEDED:2035-08
S09,BASE,fixed_BASE_plan,13458.286295,10936.29269,1390.0,9.68222,1.0,1.0,0.0,1.094503,540.0,1260.0,0,
S09,MANDATORY_STRESS,fixed_BASE_plan,14068.337608,11376.783317,1430.704961,9.833151,0.80493913,1.0,103.295039,-55.294521,540.0,1260.0,4,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040
S10,BASE,fixed_BASE_plan,12411.713717,9961.312777,1390.0,8.92929,1.0,1.0,0.0,8.739396,1430.0,370.0,0,
S10,MANDATORY_STRESS,fixed_BASE_plan,13147.708601,10489.737734,1403.307167,9.369088,0.84859266,1.0,130.692833,-55.294521,1430.0,370.0,5,BASE_TOTAL_SERVICE:2038; BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040
S11,BASE,fixed_BASE_plan,12304.303976,9853.394764,1390.0,8.852017,1.0,1.0,0.0,-6.579441,1250.0,550.0,11,RESERVE_45D:2036; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S11,MANDATORY_STRESS,fixed_BASE_plan,13059.390923,10393.892156,1353.01996,9.652031,0.75669288,1.0,180.98004,-55.294521,1250.0,550.0,18,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; STRESS_LOSS_LIMIT:2038; STRESS_LOSS_LIMIT:2039; STRESS_LOSS_LIMIT:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S12,BASE,fixed_BASE_plan,12686.033506,10148.870968,1390.0,9.126643,1.0,1.0,0.0,2.333893,1430.0,370.0,10,LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S12,MANDATORY_STRESS,fixed_BASE_plan,13515.164799,10745.195626,1359.840004,9.93879,0.7576686,1.0,174.159996,-55.294521,1430.0,370.0,15,BASE_TOTAL_SERVICE:2038; BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S13,BASE,fixed_BASE_plan,12370.01416,9930.094701,1383.749768,8.939488,0.98397376,1.0,6.250232,2.333893,1430.0,370.0,10,LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S13,MANDATORY_STRESS,fixed_BASE_plan,13154.768487,10492.356478,1338.291724,9.829522,0.72940174,1.0,195.708276,-55.294521,1430.0,370.0,14,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S14,BASE,fixed_BASE_plan,14494.534295,11974.842987,1390.0,10.427723,1.0,1.0,0.0,8.739396,1790.0,10.0,0,
S14,MANDATORY_STRESS,fixed_BASE_plan,14975.60919,12323.857882,1431.792392,10.459344,0.86938933,1.0,102.207608,-55.294521,1790.0,10.0,4,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040
S15,BASE,fixed_BASE_plan,13738.503757,11114.282309,1390.0,9.883816,1.0,1.0,0.0,-6.579441,1790.0,10.0,12,RESERVE_45D:2036; RESERVE_45D:2039; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S15,MANDATORY_STRESS,fixed_BASE_plan,14240.466467,11477.553492,1398.316759,10.184006,0.82506628,1.0,135.683241,-55.294521,1790.0,10.0,16,BASE_TOTAL_SERVICE:2038; BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S16,BASE,fixed_BASE_plan,12456.432607,10016.46435,1390.0,8.961462,1.0,1.0,0.0,-6.579441,1520.0,280.0,11,RESERVE_45D:2036; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S16,MANDATORY_STRESS,fixed_BASE_plan,13208.87224,10555.285473,1360.03711,9.712141,0.7576686,1.0,173.96289,-55.294521,1520.0,280.0,15,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S17,BASE,fixed_BASE_plan,14722.735387,12190.475447,1390.0,10.591896,1.0,1.0,0.0,-9.979241,1790.0,10.0,11,RESERVE_45D:2036; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S17,MANDATORY_STRESS,fixed_BASE_plan,15216.386478,12547.651019,1414.075552,10.76066,0.82506628,1.0,119.924448,-55.294521,1790.0,10.0,15,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S18,BASE,fixed_BASE_plan,14294.748484,11807.461653,1390.0,10.283992,1.0,1.0,0.0,8.739396,1790.0,10.0,0,
S18,MANDATORY_STRESS,fixed_BASE_plan,14775.120206,12155.947643,1431.721882,10.319826,0.86938933,1.0,102.278118,-55.294521,1790.0,10.0,4,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040
S19,BASE,fixed_BASE_plan,14054.090915,11603.19015,1390.0,10.110857,1.0,1.0,0.0,0.215029,1790.0,10.0,10,LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S19,MANDATORY_STRESS,fixed_BASE_plan,14482.956767,11913.741292,1395.923749,10.375178,0.79446435,1.0,138.076251,-55.294521,1790.0,10.0,14,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S20,BASE,fixed_BASE_plan,14731.903712,12150.595149,1390.0,10.598492,1.0,1.0,0.0,-5.263132,1790.0,10.0,11,RESERVE_45D:2036; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S20,MANDATORY_STRESS,fixed_BASE_plan,15224.639648,12507.206622,1417.031727,10.744036,0.82584647,1.0,116.968273,-55.294521,1790.0,10.0,15,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S21,BASE,fixed_BASE_plan,14634.760426,12097.980566,1390.0,10.528605,1.0,1.0,0.0,14.481811,1790.0,10.0,0,
S21,MANDATORY_STRESS,fixed_BASE_plan,15100.407881,12437.44871,1447.536237,10.4318,0.86938713,1.0,86.463763,-55.294521,1790.0,10.0,4,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040
S22,BASE,fixed_BASE_plan,14715.281252,12133.619611,1390.0,10.586533,1.0,1.0,0.0,-9.328249,1790.0,10.0,16,RESERVE_45D:2035; RESERVE_45D:2036; RESERVE_45D:2037; RESERVE_45D:2038; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S22,MANDATORY_STRESS,fixed_BASE_plan,15216.752819,12495.940518,1411.034327,10.784112,0.82584647,1.0,122.965673,-55.294521,1790.0,10.0,18,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2035; RESERVE_45D:2036; RESERVE_45D:2037; RESERVE_45D:2038; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S23,BASE,fixed_BASE_plan,14497.667144,11966.178044,1390.0,10.429976,1.0,1.0,0.0,-6.579441,1790.0,10.0,11,RESERVE_45D:2036; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S23,MANDATORY_STRESS,fixed_BASE_plan,14995.617447,12326.34598,1412.930493,10.613132,0.82506628,1.0,121.069507,-55.294521,1790.0,10.0,15,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S24,BASE,fixed_BASE_plan,14442.991573,11830.954424,1390.0,10.390641,1.0,1.0,0.0,-6.579441,1790.0,10.0,11,RESERVE_45D:2036; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S24,MANDATORY_STRESS,fixed_BASE_plan,14937.679138,12188.80558,1413.341527,10.569051,0.82506628,1.0,120.658473,-55.294521,1790.0,10.0,15,BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2036; RESERVE_45D:2039; RESERVE_45D:2040; LEAD_TIME_VIOLATION:2037-01; LEAD_TIME_VIOLATION:2037-02; LEAD_TIME_VIOLATION:2037-03; LEAD_TIME_VIOLATION:2037-04; LEAD_TIME_VIOLATION:2037-05; LEAD_TIME_VIOLATION:2037-06; LEAD_TIME_VIOLATION:2037-07; LEAD_TIME_VIOLATION:2037-08; LEAD_TIME_VIOLATION:2037-09; LEAD_TIME_VIOLATION:2037-10
S25,BASE,fixed_BASE_plan,12501.713717,9948.006992,1390.0,8.994039,1.0,1.0,0.0,8.739396,1520.0,280.0,0,
S25,MANDATORY_STRESS,fixed_BASE_plan,13237.708601,10476.431949,1403.307167,9.433222,0.84859266,1.0,130.692833,-55.294521,1520.0,280.0,5,BASE_TOTAL_SERVICE:2038; BASE_TOTAL_SERVICE:2039; BASE_TOTAL_SERVICE:2040; RESERVE_45D:2039; RESERVE_45D:2040
