year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1280.2807,79.5,0,22.34467464,6,2818.125375,2561.932159,20.12946696
2037,0,1430,1304.3513,102,0,27.84873264,12,1446.200033,1195.206639,7.611579119
2038,0,1430,1640.515167,102,0,34.20783,82,1858.722997,1396.486098,7.434891987
2039,0,1430,2125.9781,102,0,40.3663722,82,2350.344472,1605.316899,7.344826476
2040,0,1430,1714.113667,102,824.6,40.62160872,82,1938.735275,1203.802072,4.971116091
