year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
2037,0,1430,1304.3513,102,0,28.70457864,12,1447.055879,1195.913949,7.616083572
2038,0,1430,1800.71487,102,0,35.28950599,82,2020.004376,1517.659186,8.080017504
2039,0,1430,2125.9781,102,0,45.18550842,82,2355.163608,1608.608434,7.359886276
2040,0,1430,1714.113667,102,824.6,45.44074494,82,1943.554412,1206.794377,4.98347285
