year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,111.44,3.292299,134.147371,104.4833333,5.852629,0.9581955071,0.9950793651,25.99967,0,17.26027397,25.99967,true
2037,190,135,149.554,1.794648,147.759352,135,42.240648,0.7776808,1,0,0,23.42465753,0,false
2038,250,170,252.709,3.032508,248.5844533,170,1.415546667,0.9943378133,1,0,1.065481,30.82191781,0,false
2039,320,210,332.5443333,3.990532,320,210,0,1,1,1.065481,9.619282333,39.45205479,1.065481,false
2040,390,250,394.6623333,4.735948,390,250,0,1,1,9.619282333,9.545667667,48.08219178,9.619282333,false
