year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,360,360,2806.674,61.5,0,24.4498341,0,3252.623834,3252.623834,32.52623834
2036,1430,1790,1574.225,75.9,151.156,22.9819323,6,3109.106932,2826.460848,22.20790666
2037,0,1790,1645.3457,124.8,0,29.7228846,12,1811.868585,1497.412053,9.536150445
2038,0,1790,2102.8848,124.8,0,35.06390724,82,2344.748707,1761.644408,9.378994829
2039,0,1790,1741.7438,139.65,461.5,41.25567588,82,2004.649476,1369.202565,6.264529612
2040,0,1790,1507.2802,141,1286.1,41.4707502,82,1771.75095,1100.117944,4.542951154
