year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,151.348,4.431228,140,105,0,1,1,25.99967,32.916442,17.26027397,25.99967,true
2037,190,135,199.643,2.395716,190,135,0,1,1,32.916442,40.163726,23.42465753,32.916442,true
2038,250,170,262.095,3.14514,250,170,0,1,1,40.163726,49.113586,30.82191781,40.163726,true
2039,320,210,332.541,3.990492,320,210,0,1,1,49.113586,57.664094,39.45205479,49.113586,true
2040,390,250,394.657,4.735884,390,250,0,1,1,57.664094,57.58521,48.08219178,57.664094,true
