period,inventory_t,reserve_threshold_t,capacity_t
2035-01,56.66666667,12.32876712,70
2035-02,48.33333333,12.32876712,70
2035-03,40,12.32876712,70
2035-04,31.66666667,12.32876712,70
2035-05,27.37011833,12.32876712,70
2035-06,26.9948,12.32876712,70
2035-07,26.61948167,12.32876712,70
2035-08,26.24416333,12.32876712,70
2035-09,26.05125,12.32876712,70
2035-10,26.03405667,12.32876712,70
2035-11,26.01686333,12.32876712,70
2035-12,25.99967,12.32876712,70
2036-01,31.87157833,17.26027397,70
2036-02,31.72125667,17.26027397,70
2036-03,31.570935,17.26027397,70
2036-04,31.42061333,17.26027397,70
2036-05,31.68476167,17.26027397,70
2036-06,31.67769,17.26027397,70
2036-07,32.07351533,17.26027397,120
2036-08,32.46934067,17.26027397,120
2036-09,32.884926,17.26027397,120
2036-10,33.28766733,17.26027397,120
2036-11,32.91186467,17.26027397,120
2036-12,32.916442,17.26027397,120
2037-01,40.46511667,23.42465753,120
2037-02,45.17625533,23.42465753,120
2037-03,44.32693,23.42465753,120
2037-04,43.47760467,23.42465753,120
2037-05,42.64803933,23.42465753,120
2037-06,41.786858,23.42465753,120
2037-07,40.21431667,23.42465753,120
2037-08,40.20380333,23.42465753,120
2037-09,40.194278,23.42465753,120
2037-10,40.18376467,23.42465753,120
2037-11,40.16435933,23.42465753,120
2037-12,40.163726,23.42465753,120
2038-01,48.77970867,30.82191781,120
2038-02,49.00855933,30.82191781,120
2038-03,49.111934,30.82191781,120
2038-04,49.11453267,30.82191781,120
2038-05,49.11614333,30.82191781,120
2038-06,49.115778,30.82191781,120
2038-07,49.11541267,30.82191781,120
2038-08,49.11504733,30.82191781,120
2038-09,49.114682,30.82191781,120
2038-10,49.11431667,30.82191781,120
2038-11,49.05368333,30.82191781,120
2038-12,49.113586,30.82191781,120
2039-01,57.63750333,39.45205479,120
2039-02,57.56779667,39.45205479,120
2039-03,57.669014,39.45205479,120
2039-04,57.66747933,39.45205479,120
2039-05,57.66792067,39.45205479,120
2039-06,57.667374,39.45205479,120
2039-07,57.66682733,39.45205479,120
2039-08,57.66628067,39.45205479,120
2039-09,57.665734,39.45205479,120
2039-10,57.66518733,39.45205479,120
2039-11,57.66464067,39.45205479,120
2039-12,57.664094,39.45205479,120
2040-01,57.662378,48.08219178,120
2040-02,57.59249,48.08219178,120
2040-03,57.591762,48.08219178,120
2040-04,57.591034,48.08219178,120
2040-05,57.590306,48.08219178,120
2040-06,57.589578,48.08219178,120
2040-07,57.58885,48.08219178,120
2040-08,57.588122,48.08219178,120
2040-09,57.587394,48.08219178,120
2040-10,57.586666,48.08219178,120
2040-11,57.585938,48.08219178,120
2040-12,57.58521,48.08219178,120
