year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1321.422433,79.5,0,22.99982199,6,2859.922255,2599.929323,20.42801611
2037,0,1430,1472.892667,102,0,31.70355384,12,1618.596221,1337.682827,8.518927476
2038,0,1430,2875.857467,102,0,36.04630759,82,3095.903774,2325.998328,10.76836095
2039,0,1430,3324.0908,102,0,41.28315728,82,3549.373957,2424.270171,9.645037927
2040,0,1430,1777.266667,102,824.6,31.68446414,82,1992.951131,1237.465853,4.443592265
