year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
2037,190,135,199.55,2.3946,190,135,0,1,1,33.011257,40.166657,23.42465753,33.011257,true
2038,287.5,195.5,233.7332,2.8047984,271.0950586,195.5,16.4049414,0.9429393343,1,40.166657,0,35.44520548,40.166657,true
2039,368,241.5,316.075,3.7929,312.2821,241.5,55.7179,0.848592663,1,0,0,45.36986301,0,false
2040,448.5,287.5,394.666,4.735992,389.930008,287.5,58.569992,0.8694091594,1,0,0,55.29452055,0,false
