year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,0,0,1909.5572,61.5,0,24.4498341,0,1995.507034,1995.507034,19.95507034
2036,1430,1430,1280.2807,79.5,0,22.99982199,6,2818.780522,2562.527747,20.13414659
2037,0,1430,1430.43082,102,0,28.70457864,12,1573.135399,1300.1119,8.279659993
2038,0,1430,1797.067207,102,0,30.95195888,82,2012.019166,1511.659779,8.048076662
2039,0,1430,2125.9781,102,0,33.77738527,82,2343.755485,1600.816533,7.324235891
2040,0,1430,1714.113667,102,824.6,34.03262179,82,1932.146288,1199.71083,4.954221252
