year,demand_total_t,demand_critical_t,delivered_t,losses_t,served_total_t,served_critical_t,shortage_t,sl_total,sl_critical,i_start_t,i_end_t,reserve_required_t,reserve_actual_start_t,reserve_ok
2035,100,80,63.874,2.87433,100,80,0,1,1,65,25.99967,12.32876712,65,true
2036,140,105,151.444,4.432413,140,105,0,1,1,25.99967,33.011257,17.26027397,25.99967,true
2037,190,135,199.55,2.3946,190,135,0,1,1,33.011257,40.166657,23.42465753,33.011257,true
2038,250,170,265.0703,3.1808436,250,170,0,1,1,40.166657,52.0561134,30.82191781,40.166657,true
2039,320,210,332.545,3.99054,320,210,0,1,1,52.0561134,60.6105734,39.45205479,52.0561134,true
2040,390,250,394.666,4.735992,390,250,0,1,1,60.6105734,60.5405814,48.08219178,60.6105734,true
