year,capex_mln,capex_cumulative_mln,procurement_mln,reservation_mln,take_or_pay_extra_mln,holding_mln,fixed_opex_mln,total_mln,discounted_mln,cost_per_served_t_mln
2035,360,360,2904.437833,61.5,0,26.92579575,0,3352.863629,3352.863629,33.52863629
2036,1430,1790,1563.1723,79.5,171.1448,28.53709251,6,3107.209393,2824.735811,22.1943528
2037,0,1790,1793.3811,141,130.3364,36.13430004,12,1982.5154,1638.442479,10.43429158
2038,0,1790,2123.8735,141,0,44.44865928,82,2391.322159,1796.635732,9.565288637
2039,0,1790,1741.8488,141,461.5,52.70470572,82,2017.553506,1378.016191,6.304854705
2040,0,1790,1507.2802,141,1286.1,53.01613968,82,1783.29634,1107.286723,4.572554717
